id,parroquia,municipio,municipio_id
1,San Juan de los Cayos,Acosta,1
2,Capadare,Acosta,1
3,La Pastora,Acosta,1
4,Libertador,Acosta,1
1,San Luis,Bolívar,2
2,Aracua,Bolívar,2
3,La Peña,Bolívar,2
1,Capatárida,Buchivacoa,3
2,Borojó,Buchivacoa,3
3,Seque,Buchivacoa,3
4,Zazárida,Buchivacoa,3
5,Bariro,Buchivacoa,3
6,Guajiro,Buchivacoa,3
1,Norte,Carirubana,4
2,Carirubana,Carirubana,4
3,Punta Cardón,Carirubana,4
4,Santa Ana,Carirubana,4
1,La Vela de Coro,Colina,5
2,Acurigua,Colina,5
3,Guaibacoa,Colina,5
4,Macoruca,Colina,5
5,Las Calderas,Colina,5
1,Pedregal,Democracia,6
2,Agua Clara,Democracia,6
3,Avaria,Democracia,6
4,Piedra Grande,Democracia,6
5,Purureche,Democracia,6
1,Pueblo Nuevo,Falcón,7
2,Adícora,Falcón,7
3,Baraived,Falcón,7
4,Buena Vista,Falcón,7
5,Jadacaquiva,Falcón,7
6,Moruy,Falcón,7
7,El Vínculo,Falcón,7
8,El Hato,Falcón,7
9,Adaure,Falcón,7
1,Churuguara,Federación,8
2,Agua Larga,Federación,8
3,Independencia,Federación,8
4,Mapararí,Federación,8
5,El Pauji,Federación,8
1,Mene de Mauroa,Mauroa,9
2,Casigua,Mauroa,9
3,San Félix,Mauroa,9
1,San Antonio,Miranda,10
2,San Gabriel,Miranda,10
3,Santa Ana,Miranda,10
4,Guzmán Guillermo,Miranda,10
5,Mitare,Miranda,10
6,Sabaneta,Miranda,10
7,Río Seco,Miranda,10
1,Cabure,Petit,11
2,Curimagua,Petit,11
3,Colina,Petit,11
1,Tucacas,Silva,12
2,Boca de Aroa,Silva,12
1,Puerto Cumarebo,Zamora,13
2,La Ciénaga,Zamora,13
3,La Soledad,Zamora,13
4,Pueblo Cumarebo,Zamora,13
5,Zazárida,Zamora,13
1,Dabajuro,Dabajuro,14
1,Chichiriviche,Monseñor Iturriza,15
2,Boca de Tocuyo,Monseñor Iturriza,15
3,Tocuyo de la Costa,Monseñor Iturriza,15
1,Los Taques,Los Taques,16
2,Judibana,Los Taques,16
1,Píritu,Piritu,17
2,San José de la Costa,Piritu,17
1,Santa Cruz de Bucaral,Unión,18
2,El Charal,Unión,18
3,Las Vegas del Tuy,Unión,18
1,Mirimire,San Francisco,19
1,Jacura,Jacura,20
2,Agua Linda,Jacura,20
3,Araurima,Jacura,20
1,Yaracal,Cacique Manaure,21
1,Palmasola,Palmasola,22
1,Sucre,Sucre,23
2,Pecaya,Sucre,23
1,Urumaco,Urumaco,24
2,Bruzual,Urumaco,24
1,Tocópero,Tocópero,25
